,Company Name,Industry,Symbol,eps,bv,insider_h,inst_h,float_pc,price,dv_avg,trn_avg
36,Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA,9.523,16.373,54.481,28.69,0.4559930727160062,93.75,-0.0024676874091375243,42925656.81457965
37,Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,32.73,133.454,43.875,16.212,0.4673486261673001,2914.39990234375,-0.0003632560124582166,802572061.5690652
38,Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,ASTERDM,3.472,64.196,23.531,36.196,0.2075707952757312,148.8000030517578,-0.0025983640139975884,44216855.83181752
39,AstraZenca Pharma India Ltd.,PHARMA,ASTRAZEN,37.32,182.443,83.585,2.7609998,0.16676384,3859.550048828125,-0.0006232599631950914,37773889.85158367
40,Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL,20.13,94.356,63.514,18.844,0.3532221464550938,1815.6500244140625,9.533945755873186e-06,52756169.87438813
41,Atul Ltd.,CHEMICALS,ATUL,221.17,1290.59,49.056998,30.034,0.5091396588378043,8597.5,-0.00040728928400596005,39754135.97997165
42,Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,91.04,373.988,50.68,23.319000000000003,0.4782087694697398,1022.6500244140624,-0.0015588788154949932,642486180.4108225
43,Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED,27.69,118.698,71.114,9.712,0.2829275208079503,554.2000122070312,-0.0021793287184512255,112146105.9601467
44,Avenue Supermarts Ltd.,CONSUMER SERVICES,DMART,16.85,188.107,78.424,12.2609995,0.1884480483543717,3103.85009765625,0.0002707357264384699,1259409665.0283866
45,Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,24.13,338.103,2.2669999,65.630996,0.8619367854474691,731.5499877929688,-0.0028293728418689154,2600795101.879547
46,BASF India Ltd.,CHEMICALS,BASF,127.668,412.649,75.365996,8.9899994,0.257626185151644,2403.5,-0.0021049513634064693,24544642.892515104
47,BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML,23.029,504.154,55.615,22.503,0.4441397543493138,1313.1500244140625,-0.0023435651454923774,324119222.74444234
48,BSE Ltd.,FINANCIAL SERVICES,BSE,30.94,648.048,0.0,3.874,0.9813012750892296,799.0499877929688,-0.0027474946505147463,168384521.3798055
49,Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,167.9,942.355,58.425,17.559,0.3974098940816363,4150.10009765625,-5.841827009523928e-05,712027576.8642936
50,Bajaj Consumer Care Ltd.,CONSUMER GOODS,BAJAJCON,12.982,49.735,38.04,33.567002,0.6199196827978853,285.25,-0.0015457329385649007,56616925.054825805
51,Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC,16.49,137.01,65.629,19.221,0.3344857993486821,1131.1500244140625,-0.000916146590240961,78540461.98919107
52,Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,73.0,614.101,56.668997,21.31,0.4297930830928236,5618.64990234375,0.0002746527995312046,2040072055.4523346
53,Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,280.9,2250.674,68.69800000000001,9.467,0.3258523071744374,11375.849609375,-0.00021075707784140287,762549264.211717
54,Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,327.9,3340.789,60.033,12.328,0.2504455675957374,3560.10009765625,-0.0001576701255465532,149269130.26172185
55,Balaji Amines Ltd.,CHEMICALS,BALAMINES,73.52,276.049,72.489,0.823,0.2593995247060276,2794.699951171875,-0.0025109705457022667,32763069.603006985
56,Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,60.91,310.295,59.072,27.071,0.4145395868770811,2208.64990234375,0.0003934026865898919,230373013.64697513
57,Balmer Lawrie & Co. Ltd.,INDUSTRIAL MANUFACTURING,BALMLAWRIE,5.4,84.5,63.346,5.903,0.3628995812963439,137.85000610351562,-0.0023227966602732213,16032300.787529249
58,Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN,22.488,112.541,46.276,26.657,0.5761506285714286,297.29998779296875,-0.0018743998986761894,204112171.86774212
59,Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK,13.69,108.133,49.67,28.012,0.4209298525374653,294.1000061035156,-0.0026552682813773343,2184538557.362856
60,Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,3.32,176.837,65.294,18.047,0.3245706767833013,80.8499984741211,-0.001220968325419642,944740184.9060496
61,Bank of India,FINANCIAL SERVICES,BANKINDIA,-4.875,143.34,89.09899999999999,4.789000000000001,0.068657059252575,77.0,-0.0017327004640001692,462354657.65779966
62,Bank of Maharashtra.,FINANCIAL SERVICES,MAHABANK,0.91,18.938,93.33,1.966,0.0660309730104035,24.75,-0.00385746385584186,24549636.29387228
63,Bata India Ltd.,CONSUMER GOODS,BATAINDIA,-6.256,132.259,53.182,29.354000000000003,0.4589516292169799,1531.0,-0.0015348475156971944,317054926.35065305
64,Bayer Cropscience Ltd.,FERTILISERS & PESTICIDES,BAYERCROP,109.72,567.328,72.708,12.617,0.3347996644571571,5259.75,-0.00031403725024058653,52465125.49799039
65,Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT,7.41,34.806,76.435995,11.8090004,0.231555330313991,820.0499877929688,-0.0010988437767090605,141459232.26834413
66,Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING,BDL,16.582,136.664,74.926,16.375,0.2511095531390402,360.1499938964844,-0.0015019599963983312,103609417.13785604
67,Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,7.295,41.607,51.137,39.228,0.4891203180963455,149.1999969482422,-0.0015404165450619586,370743969.43607414
68,Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,-8.744,113.545,47.325,31.725,0.5214952010721078,658.2000122070312,-0.0013781511920085,302672557.4423509
69,Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,-9.644,78.286,63.181,25.526,0.3649510560764508,74.5,-0.0013844481988020238,859101795.5573317
70,Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,81.6,268.105,54.495000000000005,26.071,0.4110920526760777,474.3999938964844,-0.0010545533927664777,784459782.1313518
71,Bharat Rasayan Ltd.,FERTILISERS & PESTICIDES,BHARATRAS,360.819,1518.355,0.0,1.433,0.2041600568639173,12326.5498046875,0.0010597657536195236,6213516.289677731
72,Bharti Airtel Ltd.,TELECOM,BHARTIARTL,-27.65,107.408,55.996,29.455,0.4237814292670717,526.0999755859375,-0.001507841529743187,2303746820.025135
73,Biocon Ltd.,PHARMA,BIOCON,6.19,64.16,66.407996,13.259000000000002,0.3572731751911684,381.5499877929688,-0.0013318602524817758,553327873.3908178
74,Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,BIRLACORPN,81.83,712.455,65.929,13.668,0.3762901580171836,1228.5,-0.0013776015808598747,40615531.86136331
75,Birlasoft Ltd.,IT,BSOFT,11.539,78.409,53.691,27.105,0.4900096010199586,308.6499938964844,-0.0022013844314766385,108628305.24220847
76,Bliss GVS Pharma Ltd.,PHARMA,BLISSGVS,6.49,78.985,67.01599999999999,10.395,0.3534906005398763,109.0,-0.0025161676702231467,46521428.24886421
77,Blue Dart Express Ltd.,SERVICES,BLUEDART,42.91,249.478,78.224,11.083999,0.2232301636470147,6068.5,-0.0010523014256354165,25677137.048260078
78,Blue Star Ltd.,CONSUMER GOODS,BLUESTARCO,10.42,91.943,45.141,30.457002,0.4014269009384149,811.7000122070312,-0.0007063061035378829,23255103.819223106
79,Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC,52.96,784.837,75.176,6.1490003,0.2221269036889118,1223.75,-0.001039122675221504,65379131.89127529
80,Bosch Ltd.,AUTOMOBILE,BOSCHLTD,163.4,3326.83,70.666003,16.792,0.2934572246182222,15030.2998046875,-0.0011169691421653387,198048474.6473192
81,Brigade Enterprises Ltd.,CONSTRUCTION,BRIGADE,-2.24,111.539,55.838,34.335,0.3732664960182025,269.1499938964844,-0.0020084062452423333,23412026.862238307
82,Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,77.4,147.332,50.547004,21.570998,0.4922069515253168,3439.5,6.940047370747535e-05,298971274.26045334
83,Burger King India Ltd.,CONSUMER SERVICES,BURGERKING,-5.47,17.655,64.61099999999999,19.457,0.3494572338228545,152.89999389648438,-0.0006798985228445651,1079736532.9813502
84,CCL Products (I) Ltd.,CONSUMER GOODS,CCL,13.7,81.763,50.74999999999999,19.440001,0.5070621222599754,336.8500061035156,-0.0023988240577174635,22625646.86573903
85,CESC Ltd.,POWER,CESC,100.382,759.454,6.0229998,79.61,0.4997718113717118,682.1500244140625,-0.001817451886717643,180068453.45577624
86,CRISIL Ltd.,FINANCIAL SERVICES,CRISIL,48.229,180.707,73.599,15.321000000000002,0.2644259293371127,1910.25,-0.0010912316291248026,25631980.708618905
87,CSB Bank Ltd.,FINANCIAL SERVICES,CSBBANK,12.59,125.558,59.940000000000005,9.792,0.8359793355083407,314.79998779296875,-0.0019964995286623427,143571676.57042053
88,Cadila Healthcare Ltd.,PHARMA,CADILAHC,20.84,126.861,75.0,13.941,0.2474348770997362,622.5499877929688,-0.0010674668593917593,312514405.2219516
89,Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME,34.25,195.919,42.921,22.609,0.5791961488201631,525.75,-0.0007775048309634425,85687260.87244925
90,Canara Bank,FINANCIAL SERVICES,CANBK,19.11,378.911,69.332004,15.365,0.3067433048421644,150.4499969482422,-0.0013686933189134018,758698995.9750383
91,Caplin Point Laboratories Ltd.,PHARMA,CAPLIPOINT,31.71,156.872,76.157,1.701,0.2236904239398859,605.0499877929688,-0.00262194892216767,55146006.45628423
92,Capri Global Capital Ltd.,FINANCIAL SERVICES,CGCL,,,,,,460.4500122070313,-0.000778121159045609,18819411.72212804
93,Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,CARBORUNIV,14.99,112.542,46.448,32.978,0.5710505980634137,604.7000122070312,0.005638050147124456,18969538.277047522
94,Castrol India Ltd.,OIL & GAS,CASTROLIND,7.083,14.298,51.147,21.082,0.4883301977039062,134.0,-0.0010194029080715387,104844173.6038065
95,Ceat Ltd.,AUTOMOBILE,CEATLTD,106.81,819.74,2.8859999000000003,80.973,0.4113637543541301,1337.1500244140625,0.0010767014390299487,357715111.0355038
96,Central Bank of India,FINANCIAL SERVICES,CENTRALBK,-1.738,37.502,60.765,2.8970001,0.2485209968379091,19.25,-0.002651815520664191,83534612.21196651
97,Central Depository Services (India) Ltd.,FINANCIAL SERVICES,CDSL,19.17,83.924,0.0,10.9560005,0.7451285741626794,889.0999755859375,-0.0003249382367897709,391072613.8455977
98,Century Plyboards (India) Ltd.,CONSUMER GOODS,CENTURYPLY,6.388,50.207,74.18900000000001,15.927,0.2779069473934977,418.0,-0.001339562851215746,35633642.52154405
99,Century Textile & Industries Ltd.,PAPER AND JUTE,CENTURYTEX,-2.73,312.517,56.734,18.586999,0.4376368356968915,514.4500122070312,-0.0017936941216101661,327778839.30702937
